uf;br;total_acidentes;total_mortos;perc_fatais
RJ;485;2;0;0.0
RJ;495;32;0;0.0
RN;0;6;0;0.0
RN;437;1;0;0.0
RO;0;4;0;0.0
RR;0;1;0;0.0
RR;431;1;0;0.0
RS;0;17;0;0.0
RS;480;7;0;0.0
SC;0;10;0;0.0
SC;285;2;0;0.0
SE;0;2;0;0.0
SP;0;9;0;0.0
TO;0;3;0;0.0
